my_atoms, my_ke, my_cpu, my_time, 1_disp, 2_disp, 3_disp, 1_vel, 2_vel, 3_vel,  1_force, 2_force, 3_force, force1y, force2y, force3y, force1z, force2z,force3z
3, 4.21422862074294e-07, 2.394175278, 0.02753, -0.0004, -0.00015208849109505, 0.003153,  0, 12.5062711536777 , 0.1,  0, -4.77800086319766e-07, 0, 0, 0,0,  0, 0,0
3, 4.21387675698743e-07, 2.395374119, 0.02754, -0.0004, -2.70289978879043e-05, 0.003154,  0, 12.5057490086837 , 0.1,  0, -8.49141011985341e-08, 0, 0, 0,0,  0, 0,0
3, 8.77976984675457e-07, 2.396039244, 0.02755, -0.0004, -0.000141239550845202, 0.003155,  0, -18.0516780595235 , 0.1,  0, 8.87434270663218e-07, 0, 0, 0,0,  0, 0,0
3, 8.77714438731035e-07, 2.397315647, 0.02756, -0.0004, -0.000321744588784908, 0.003156,  0, -18.0489787321068 , 0.1,  0, 2.02158087291787e-06, 0, 0, 0,0,  0, 0,0
3, 8.77728394535988e-07, 2.398020151, 0.02757, -0.0004, -0.000502226442593276, 0.003157,  0, -18.0491222268168 , 0.1,  0, -1.22911954540978e-06, 0, 0, 0,0,  0, 0,0
3, 8.77759862650005e-07, 2.399219122, 0.02758, -0.0004, -0.000682722170524824, 0.003158,  0, -18.0494457803121 , 0.1,  0, 3.68439167508168e-07, 0, 0, 0,0,  0, 0,0
3, 6.0005038127439e-07, 2.400410236, 0.02759, -0.0004, -0.000747948774263086, 0.003159,  0, 14.9233658293643 , 0.1,  0, -3.27047496770867e-07, 0, 0, 0,0,  0, 0,0
3, 5.99931616866141e-07, 2.401073282, 0.0276, -0.0004, -0.000598721050841931, 0.00316,  0, 14.921888843377 , 0.1,  0, -1.26467293599452e-06, 0, 0, 0,0,  0, 0,0
3, 5.99672984433948e-07, 2.402265062, 0.02761, -0.0004, -0.000449516797219443, 0.003161,  0, 14.9186719152433 , 0.1,  0, -2.20215091012404e-06, 0, 0, 0,0,  0, 0,0
3, 5.99744641151818e-07, 2.403468299, 0.02762, -0.0004, -0.000300333431528838, 0.003162,  0, 14.9195632670196 , 0.1,  0, 1.2608951647441e-06, 0, 0, 0,0,  0, 0,0
3, 5.99793515143038e-07, 2.404134445, 0.02763, -0.0004, -0.000151131896493355, 0.003163,  0, 14.9201711895055 , 0.1,  0, -4.74794855746616e-07, 0, 0, 0,0,  0, 0,0
3, 5.99757642689657e-07, 2.40539737, 0.02764, -0.0004, -1.93314048191536e-06, 0.003164,  0, 14.9197249899565 , 0.1,  0, -6.07313993634229e-09, 0, 0, 0,0,  0, 0,0
3, 9.69147250404229e-07, 2.406093105, 0.02765, -0.0004, -0.000186928753695555, 0.003165,  0, -18.9658156423477 , 0.1,  0, 1.1745079987093e-06, 0, 0, 0,0,  0, 0,0
3, 9.68811526122864e-07, 2.407325623, 0.02766, -0.0004, -0.000376572326053559, 0.003166,  0, -18.9625302729717 , 0.1,  0, 2.36607370615016e-06, 0, 0, 0,0,  0, 0,0
3, 9.6899865774294e-07, 2.40853932, 0.02767, -0.0004, -0.000566205343910779, 0.003167,  0, -18.9643615973594 , 0.1,  0, -4.2521350483857e-07, 0, 0, 0,0,  0, 0,0
3, 9.68958670033929e-07, 2.409763621, 0.02768, -0.0004, -0.000755847632927342, 0.003168,  0, -18.9639702808818 , 0.1,  0, 1.38708752034062e-07, 0, 0, 0,0,  0, 0,0
3, 1.01765365284722e-06, 2.410439588, 0.02769, -0.0004, -0.000651180212230255, 0.003169,  0, 19.4346590647173 , 0.1,  0, -9.35062303932449e-07, 0, 0, 0,0,  0, 0,0
3, 1.01735329369661e-06, 2.411645333, 0.0277, -0.0004, -0.000456846074946895, 0.00317,  0, 19.4317907199564 , 0.1,  0, -2.15609969999468e-06, 0, 0, 0,0,  0, 0,0
3, 1.01744746118539e-06, 2.412843088, 0.02771, -0.0004, -0.00026252993835008, 0.003171,  0, 19.4326900383461 , 0.1,  0, 7.86322646306125e-07, 0, 0, 0,0,  0, 0,0
3, 1.01742912583075e-06, 2.414041571, 0.02772, -0.0004, -6.8202300661932e-05, 0.003172,  0, 19.4325149352976 , 0.1,  0, -2.14263846717448e-07, 0, 0, 0,0,  0, 0,0
3, 1.19119053754512e-06, 2.414823098, 0.02773, -0.0004, -0.000136124221382604, 0.003173,  0, -21.0265675834969 , 0.1,  0, 8.5529370774244e-07, 0, 0, 0,0,  0, 0,0
3, 1.19087182979269e-06, 2.416028153, 0.02774, -0.0004, -0.000346377874655857, 0.003174,  0, -21.0237544609189 , 0.1,  0, 2.17635637276977e-06, 0, 0, 0,0,  0, 0,0
3, 1.19098514617486e-06, 2.417222951, 0.02775, -0.0004, -0.000556615303016985, 0.003175,  0, -21.024754708369 , 0.1,  0, -5.45269437750295e-07, 0, 0, 0,0,  0, 0,0
3, 1.19094843889734e-06, 2.418428279, 0.02776, -0.0004, -0.000766861981609979, 0.003176,  0, -21.0244306972281 , 0.1,  0, 1.04106155129189e-07, 0, 0, 0,0,  0, 0,0
3, 2.54146054620757e-07, 2.419123095, 0.02777, -0.0004, -0.000718348645573663, 0.003177,  0, 9.71183605033878 , 0.1,  0, -5.13030590442872e-07, 0, 0, 0,0,  0, 0,0
3, 2.54066605971548e-07, 2.419814418, 0.02778, -0.0004, -0.00062123693287384, 0.003178,  0, 9.71031776120615 , 0.1,  0, -1.12320147683389e-06, 0, 0, 0,0,  0, 0,0
3, 2.53927938712217e-07, 2.420505535, 0.02779, -0.0004, -0.000524146064545528, 0.003179,  0, 9.70766721654578 , 0.1,  0, -1.7332413941752e-06, 0, 0, 0,0,  0, 0,0
3, 2.53730117517141e-07, 2.421729955, 0.0278, -0.0004, -0.0004270873617087, 0.00318,  0, 9.70388472541998 , 0.1,  0, -2.343079209774e-06, 0, 0, 0,0,  0, 0,0
3, 2.53809246264936e-07, 2.422427224, 0.02781, -0.0004, -0.000330048635037028, 0.003181,  0, 9.70539790392694 , 0.1,  0, 1.63433520625492e-06, 0, 0, 0,0,  0, 0,0
3, 2.53908685417726e-07, 2.42370127, 0.02782, -0.0004, -0.000232983263411577, 0.003182,  0, 9.7072991437108 , 0.1,  0, 4.14575772588992e-07, 0, 0, 0,0,  0, 0,0
3, 2.53894277451076e-07, 2.42440106, 0.02783, -0.0004, -0.000135910126137637, 0.003183,  0, 9.70702369179174 , 0.1,  0, -4.26974253822462e-07, 0, 0, 0,0,  0, 0,0
3, 2.53867632361453e-07, 2.425621822, 0.02784, -0.0004, -3.88429079341218e-05, 0.003184,  0, 9.70651426961054 , 0.1,  0, -1.22028594209902e-07, 0, 0, 0,0,  0, 0,0
3, 7.38310450984109e-07, 2.426313939, 0.02785, -0.0004, -9.9077764151647e-05, 0.003185,  0, -16.5536687811977 , 0.1,  0, 6.22523951985832e-07, 0, 0, 0,0,  0, 0,0
3, 7.38121328220583e-07, 2.42701164, 0.02786, -0.0004, -0.000264605458533093, 0.003186,  0, -16.5515484059841 , 0.1,  0, 1.66256512925465e-06, 0, 0, 0,0,  0, 0,0
3, 7.37908262470501e-07, 2.428239863, 0.02787, -0.0004, -0.000430103816176259, 0.003187,  0, -16.5491592653242 , 0.1,  0, -2.13507240001077e-06, 0, 0, 0,0,  0, 0,0
3, 7.3808951921129e-07, 2.429460693, 0.02788, -0.0004, -0.000595608787700237, 0.003188,  0, -16.5511917483264 , 0.1,  0, -5.52755893215002e-08, 0, 0, 0,0,  0, 0,0
3, 7.38041753851229e-07, 2.430674886, 0.02789, -0.0004, -0.000761117935852509, 0.003189,  0, -16.5506561660809 , 0.1,  0, 1.22151607082165e-07, 0, 0, 0,0,  0, 0,0
3, 9.90968477169489e-07, 2.431340101, 0.0279, -0.0004, -0.000653551684278577, 0.00319,  0, 19.1781492231415 , 0.1,  0, -9.2016190560204e-07, 0, 0, 0,0,  0, 0,0
3, 9.90676484991288e-07, 2.432584596, 0.02791, -0.0004, -0.000461782457300202, 0.003191,  0, 19.1753234852218 , 0.1,  0, -2.12508349492175e-06, 0, 0, 0,0,  0, 0,0
3, 9.90753464000857e-07, 2.433778292, 0.02792, -0.0004, -0.000270032418095722, 0.003192,  0, 19.1760684856848 , 0.1,  0, 8.80305179894066e-07, 0, 0, 0,0,  0, 0,0
3, 9.9074366546958e-07, 2.434983228, 0.02793, -0.0004, -7.82702973716786e-05, 0.003193,  0, 19.1759736574112 , 0.1,  0, -2.45893391217154e-07, 0, 0, 0,0,  0, 0,0
3, 8.57984768932216e-07, 2.435649671, 0.02794, -0.0004, -0.000105305978181836, 0.003194,  0, -17.8449628298257 , 0.1,  0, 6.61656974870286e-07, 0, 0, 0,0,  0, 0,0
3, 8.5776667189561e-07, 2.436319806, 0.02795, -0.0004, -0.000283745998984869, 0.003195,  0, -17.8426945476565 , 0.1,  0, 1.78282869179272e-06, 0, 0, 0,0,  0, 0,0
3, 8.57649010210012e-07, 2.437512937, 0.02796, -0.0004, -0.000462158452669318, 0.003196,  0, -17.8414707069938 , 0.1,  0, -1.73262270822161e-06, 0, 0, 0,0,  0, 0,0
3, 8.57758128206529e-07, 2.438726943, 0.02797, -0.0004, -0.000640582302024788, 0.003197,  0, -17.8426056845615 , 0.1,  0, 5.00825468811123e-07, 0, 0, 0,0,  0, 0,0
3, 2.92153157519675e-07, 2.439950251, 0.02798, -0.0004, -0.000789055138081935, 0.003198,  0, 10.4128099879411 , 0.1,  0, -6.87685955926985e-08, 0, 0, 0,0,  0, 0,0
3, 2.9211193547623e-07, 2.440627419, 0.02799, -0.0004, -0.000684929699926239, 0.003199,  0, 10.4120752841951 , 0.1,  0, -7.230080187162e-07, 0, 0, 0,0,  0, 0,0
3, 2.92002608944965e-07, 2.441299648, 0.028, -0.0004, -0.00058081767935239, 0.0032,  0, 10.4101264976472 , 0.1,  0, -1.37716313668705e-06, 0, 0, 0,0,  0, 0,0
3, 2.91825228915744e-07, 2.442671647, 0.02801, -0.0004, -0.000476731216170197, 0.003201,  0, 10.4069638555323 , 0.1,  0, -2.03115767282923e-06, 0, 0, 0,0,  0, 0,0
3, 2.9171481532116e-07, 2.443350587, 0.02802, -0.0004, -0.000372679269748949, 0.003202,  0, 10.4049947229834 , 0.1,  0, 2.17022149728787e-06, 0, 0, 0,0,  0, 0,0
3, 2.91872616411063e-07, 2.444564367, 0.02803, -0.0004, -0.000268613229409676, 0.003203,  0, 10.407808856948 , 0.1,  0, 8.62489066016231e-07, 0, 0, 0,0,  0, 0,0
3, 2.91894319836889e-07, 2.44522962, 0.02804, -0.0004, -0.000164531183154993, 0.003204,  0, 10.4081958438526 , 0.1,  0, -4.45444501520987e-07, 0, 0, 0,0,  0, 0,0
3, 2.91857700650527e-07, 2.446432154, 0.02805, -0.0004, -6.04529810851817e-05, 0.003205,  0, 10.4075428904082 , 0.1,  0, -1.89918641265144e-07, 0, 0, 0,0,  0, 0,0
3, 7.03928156296053e-08, 2.447101557, 0.02806, -0.0004, -2.13550590496352e-05, 0.003206,  0, -5.11050383556794 , 0.1,  0, 1.3417779325462e-07, 0, 0, 0,0,  0, 0,0
3, 7.0377754511429e-08, 2.447763723, 0.02807, -0.0004, -7.24578591970604e-05, 0.003207,  0, -5.10995687993685 , 0.1,  0, 4.55266156296657e-07, 0, 0, 0,0,  0, 0,0
3, 7.03462914378696e-08, 2.448424594, 0.02808, -0.0004, -0.000123552210515763, 0.003208,  0, -5.10881408624298 , 0.1,  0, 7.763014337822e-07, 0, 0, 0,0,  0, 0,0
3, 7.02984410832976e-08, 2.449085668, 0.02809, -0.0004, -0.00017463215523349, 0.003209,  0, -5.1070755877399 , 0.1,  0, 1.09724619192417e-06, 0, 0, 0,0,  0, 0,0
3, 7.02342257651079e-08, 2.449750395, 0.0281, -0.0004, -0.000225691737257849, 0.00321,  0, -5.10474158714235 , 0.1,  0, 1.41806300749035e-06, 0, 0, 0,0,  0, 0,0
3, 7.01536754333099e-08, 2.450485419, 0.02811, -0.0004, -0.000276725002870803, 0.003211,  0, -5.10181235660256 , 0.1,  0, 1.73871447216706e-06, 0, 0, 0,0,  0, 0,0
3, 7.00568276565613e-08, 2.451754377, 0.02812, -0.0004, -0.000327726001422897, 0.003212,  0, -5.09828823767863 , 0.1,  0, 2.05916319692106e-06, 0, 0, 0,0,  0, 0,0
3, 6.99437276046447e-08, 2.452453461, 0.02813, -0.0004, -0.000378688786027123, 0.003213,  0, -5.09416964129464 , 0.1,  0, 2.3793718163593e-06, 0, 0, 0,0,  0, 0,0
